bedrooms,bathrooms,area,lot_size,floors,age,garage,fireplace,renovated,neighborhood,distance_city,price,price_hilo
5,5.0,4402,2562.0,2,5,1,1,1,1,10.77,1196455.0,1
2,2.5,1639,5029.0,2,105,1,0,0,1,8.95,524296.0,0
3,3.0,2048,4025.0,1,35,1,1,0,0,15.78,524178.0,0
2,2.5,1404,3443.0,2,17,1,1,0,1,10.91,461685.0,0
4,4.0,2017,11191.0,1,85,1,0,0,1,1.92,790530.0,0
4,4.5,2958,3373.0,2,8,1,1,1,0,12.61,813035.0,1
3,3.5,1898,7823.0,1,38,1,1,0,1,5.16,658177.0,0
5,5.0,3449,6868.0,1,45,1,1,0,1,8.55,1045724.0,1
4,4.0,3448,3187.0,1,40,0,0,1,1,6.08,920573.0,1
3,3.0,2430,3075.0,1,50,0,0,0,0,17.52,691555.0,0
3,3.5,2444,1663.0,2,4,1,0,1,0,21.85,643003.0,0
4,4.0,2790,5739.0,1,59,1,0,0,0,22.29,908250.0,1
4,4.5,3463,2114.0,1,97,1,1,0,1,3.06,1027401.0,1
3,3.0,2114,6552.0,2,105,1,1,0,1,4.69,660621.0,0
2,2.0,1765,2149.0,2,16,1,0,0,0,7.49,509690.0,0
3,3.0,2176,3048.0,2,21,1,0,0,0,19.19,602858.0,0
2,2.0,1298,1879.0,2,76,0,1,0,1,2.05,514004.0,0
3,4.0,2508,2723.0,2,21,1,0,0,0,10.71,699851.0,0
4,5.0,3340,1966.0,3,75,1,1,0,1,7.55,902823.0,1
3,3.5,2059,2123.0,1,14,1,0,0,0,15.22,510845.0,0
6,5.0,5366,9825.0,2,73,1,0,0,1,4.73,1415222.0,1
4,4.0,2082,7878.0,1,72,0,0,0,1,1.94,765663.0,0
3,3.5,2202,2267.0,1,118,1,1,0,1,6.01,763923.0,0
2,3.0,1859,1581.0,1,71,1,1,0,1,5.43,658659.0,0
3,3.5,1922,3027.0,1,26,1,1,1,1,1.71,761117.0,0
3,4.0,2585,5193.0,1,13,1,1,0,0,10.68,798884.0,1
5,5.0,3746,5080.0,1,61,1,0,0,1,7.32,1056830.0,1
3,4.0,2226,2234.0,1,7,1,1,1,1,5.26,754311.0,0
2,2.0,1241,1933.0,2,70,0,1,0,0,21.25,275719.0,0
5,5.0,4188,1812.0,2,38,0,1,0,1,4.9,1093941.0,1
4,4.0,2859,5169.0,1,24,1,0,0,1,5.73,846559.0,1
5,5.0,3848,2392.0,1,110,1,1,0,0,25.2,985691.0,1
3,3.0,2297,2312.0,2,54,1,1,0,1,6.21,661039.0,0
5,5.0,3682,3050.0,2,115,1,0,0,0,22.64,917415.0,1
4,4.5,2652,8186.0,2,49,0,0,0,0,7.68,805237.0,1
3,3.0,1721,4763.0,3,108,1,0,0,1,2.0,548071.0,0
5,5.0,3134,2809.0,2,120,1,1,0,1,3.52,826822.0,1
3,3.5,2484,3206.0,2,49,1,0,1,1,8.24,829457.0,1
2,2.5,1429,3455.0,2,106,1,1,1,1,3.31,563784.0,0
3,3.0,2348,3808.0,2,56,0,1,1,1,8.57,733086.0,0
2,2.0,1624,6593.0,2,5,1,0,1,1,12.3,563891.0,0
5,5.0,3156,1955.0,2,13,1,1,0,1,9.38,875793.0,1
3,3.0,2368,3280.0,1,42,1,0,0,1,7.28,704537.0,0
3,3.5,2661,4540.0,1,102,0,0,0,0,22.95,685030.0,0
4,4.0,3037,4458.0,2,11,1,0,0,0,11.19,816243.0,1
6,5.0,4675,3110.0,2,4,1,1,1,1,3.11,1271819.0,1
5,5.0,3712,1687.0,2,30,1,0,0,1,2.03,1132480.0,1
3,4.0,2637,3394.0,2,112,1,0,0,1,3.39,810307.0,1
3,4.0,2450,1544.0,1,30,1,1,0,1,10.85,824498.0,1
1,1.0,600,2165.0,1,122,1,0,0,1,2.2,250000.0,0
4,4.0,2530,12292.0,2,13,1,0,0,0,20.99,686322.0,0
4,4.0,2638,11834.0,1,81,0,1,0,0,1.12,880858.0,1
4,4.0,3476,2914.0,1,34,1,0,0,0,14.75,956962.0,1
3,3.5,2013,2574.0,1,78,1,0,0,0,15.33,625682.0,0
5,5.0,3398,3332.0,1,26,1,0,0,1,7.18,991555.0,1
6,5.0,4259,1527.0,1,20,0,0,1,0,7.87,1104200.0,1
4,4.0,2401,2453.0,2,66,0,0,0,1,3.63,741625.0,0
3,3.0,2434,4723.0,1,78,1,0,0,0,13.49,675525.0,0
3,3.0,2493,2658.0,3,72,0,0,0,0,14.98,618722.0,0
3,4.0,2765,13514.0,1,16,1,1,0,0,10.51,809609.0,1
3,4.0,2523,3709.0,1,85,1,1,0,1,13.09,762510.0,0
5,5.0,3734,3671.0,1,8,1,1,1,0,3.87,1066215.0,1
3,3.5,2850,9522.0,1,10,0,0,1,1,12.08,733308.0,0
4,4.0,3968,1952.0,1,34,1,1,0,1,9.02,975042.0,1
2,2.0,817,3155.0,2,109,1,0,0,1,2.84,367755.0,0
6,5.0,3834,2344.0,1,96,1,0,0,1,4.39,1000993.0,1
3,4.0,2791,5252.0,1,27,0,0,0,1,8.13,793054.0,1
4,5.0,2703,3408.0,2,31,1,0,1,1,8.36,846756.0,1
3,3.5,2833,3583.0,1,118,1,1,0,1,12.35,864798.0,1
2,3.0,1893,7017.0,2,95,1,1,0,1,6.35,620475.0,0
3,3.0,1816,2384.0,1,18,0,0,0,1,5.05,614420.0,0
4,5.0,2681,2210.0,2,69,0,0,0,0,16.28,732566.0,0
3,4.0,1884,6249.0,3,25,1,1,0,1,11.56,573051.0,0
2,2.5,1207,6263.0,2,11,0,0,0,1,8.58,530726.0,0
5,5.0,4267,3899.0,1,30,1,0,0,0,14.83,1250769.0,1
4,4.0,2526,5504.0,1,22,1,0,1,1,6.26,798556.0,1
4,5.0,3132,9134.0,2,118,0,1,0,0,18.97,922342.0,1
3,3.0,2180,3397.0,1,107,1,1,1,0,16.19,660954.0,0
1,1.5,747,4644.0,2,29,1,0,0,0,19.5,274390.0,0
6,5.0,4397,4353.0,1,49,1,0,0,1,5.51,1179058.0,1
3,3.5,2484,3328.0,1,76,1,1,0,1,2.41,770860.0,0
5,5.0,3522,3289.0,3,21,1,1,0,1,1.71,1076500.0,1
2,2.0,1166,4354.0,1,65,1,0,0,0,12.27,306110.0,0
3,3.0,2373,2040.0,2,54,1,1,0,1,8.86,678030.0,0
5,5.0,2808,3308.0,1,49,1,0,0,1,4.75,828191.0,1
1,1.0,917,3794.0,3,90,1,1,0,0,23.44,250000.0,0
3,3.5,2119,4129.0,2,35,1,0,1,1,7.81,786151.0,0
2,2.0,1891,9199.0,2,119,1,1,0,1,5.83,750708.0,0
1,1.0,600,4734.0,3,34,0,1,0,0,16.74,250000.0,0
4,4.0,2935,5436.0,1,8,1,1,1,1,3.03,913267.0,1
4,5.0,3154,4079.0,2,50,1,0,0,1,8.51,889179.0,1
4,4.5,3552,4727.0,2,57,1,0,0,1,2.55,980518.0,1
3,3.5,2072,2726.0,2,42,1,1,0,1,9.27,683811.0,0
3,3.0,2712,3270.0,2,74,1,1,0,0,1.2,724409.0,0
4,4.5,2898,9585.0,1,75,1,0,0,0,9.66,917555.0,1
3,3.0,2248,4289.0,1,4,1,1,1,0,14.23,585385.0,0
2,2.0,1426,3724.0,2,91,0,1,0,1,8.57,516204.0,0
3,3.0,2328,2068.0,1,13,1,0,0,1,3.58,681472.0,0
3,3.0,2389,1685.0,2,94,0,0,0,1,3.64,790887.0,0
6,5.0,3695,6802.0,2,35,1,1,0,1,12.6,1144770.0,1
2,3.0,2220,2039.0,2,42,1,0,0,1,1.77,786027.0,0
2,2.5,2199,2581.0,2,33,1,0,0,0,11.69,670391.0,0
6,5.0,4457,3644.0,1,51,1,1,0,1,12.82,1187064.0,1
4,4.0,3879,2062.0,2,35,1,1,0,0,17.87,956889.0,1
3,3.0,2434,1770.0,1,110,1,1,0,1,2.83,770012.0,0
6,5.0,3914,5267.0,3,80,0,1,0,1,7.3,1139369.0,1
3,3.0,2347,1527.0,2,31,0,1,0,1,4.41,737763.0,0
4,5.0,3432,5445.0,2,64,1,0,0,0,17.64,863763.0,1
3,3.0,2563,5212.0,1,80,0,0,0,0,17.54,620037.0,0
3,3.5,3217,2421.0,2,14,1,1,0,0,21.95,808355.0,1
3,3.0,3094,2338.0,1,29,1,1,0,1,2.51,842352.0,1
5,5.0,3293,2211.0,2,121,1,1,0,1,3.5,909448.0,1
3,3.0,2177,5598.0,1,66,1,0,0,0,14.99,629530.0,0
2,2.5,1077,2368.0,1,74,0,1,0,1,1.74,467523.0,0
4,4.0,2603,13357.0,1,49,0,0,0,1,0.5,906985.0,1
5,5.0,3828,2386.0,2,46,1,0,0,1,5.16,1015569.0,1
2,2.0,600,3078.0,1,125,1,1,0,1,12.21,256156.0,0
3,4.0,2615,3510.0,2,55,1,0,0,1,2.98,849726.0,1
5,5.0,3742,6803.0,2,67,1,0,0,1,9.78,1040858.0,1
6,5.0,3891,2314.0,1,46,0,0,0,1,4.37,1010054.0,1
5,5.0,3681,4304.0,1,35,1,1,0,1,2.4,1144005.0,1
2,2.5,1765,1565.0,1,68,1,0,1,1,9.8,609015.0,0
4,4.5,3240,12808.0,2,24,1,1,0,1,8.16,968834.0,1
1,1.0,849,1743.0,1,6,1,1,1,1,6.88,409601.0,0
5,5.0,4161,2744.0,2,29,1,1,0,1,3.52,1144698.0,1
3,4.0,2309,1648.0,1,65,1,1,0,1,8.53,700810.0,0
5,5.0,3389,8379.0,2,2,1,0,1,0,22.68,955838.0,1
2,2.0,1415,2080.0,1,65,0,0,0,1,4.79,494307.0,0
2,2.0,1457,2795.0,2,104,1,1,0,1,2.48,511591.0,0
1,1.0,600,2676.0,1,50,1,0,0,1,3.14,285945.0,0
5,5.0,3226,4990.0,2,60,1,1,0,0,21.31,805793.0,1
2,2.5,1395,3611.0,2,82,1,1,0,0,25.11,336145.0,0
6,5.0,3752,8174.0,2,78,1,0,0,0,14.52,1067243.0,1
4,4.5,3384,2266.0,1,54,1,1,0,1,11.84,910361.0,1
5,5.0,3320,2465.0,2,12,1,1,0,1,9.33,932370.0,1
2,2.0,1497,5581.0,1,94,1,0,0,1,3.0,526592.0,0
3,3.5,3326,2497.0,1,46,0,0,0,1,10.33,910368.0,1
5,5.0,3740,2078.0,1,50,1,1,0,1,13.58,966695.0,1
3,3.0,2666,5759.0,1,72,1,1,0,0,24.8,741889.0,0
4,4.0,3041,5259.0,1,72,1,0,0,1,9.1,980726.0,1
2,3.0,1698,5290.0,2,8,1,0,1,1,3.51,600739.0,0
4,4.0,1994,2802.0,1,5,1,1,1,0,23.68,574009.0,0
5,5.0,3534,3394.0,2,16,1,1,0,0,11.84,912719.0,1
3,3.0,2097,5625.0,1,45,1,0,0,1,2.55,652708.0,0
3,3.0,2349,3554.0,2,60,1,1,0,1,1.4,688752.0,0
4,5.0,3303,6602.0,1,7,1,1,1,1,4.07,1017937.0,1
4,4.0,3294,6231.0,2,26,1,1,0,1,4.85,973292.0,1
4,4.0,2375,2034.0,1,64,1,0,0,1,7.89,608849.0,0
5,5.0,4088,8643.0,1,21,1,1,0,1,4.22,1241947.0,1
5,5.0,3535,2627.0,2,37,0,1,1,0,16.7,939496.0,1
2,2.5,1022,1930.0,1,14,1,0,1,1,2.93,491061.0,0
5,5.0,4075,1830.0,1,32,1,0,0,0,14.86,1025581.0,1
3,3.5,2256,3265.0,1,56,0,0,0,1,7.21,729687.0,0
3,3.0,2699,4664.0,1,98,0,1,1,1,4.94,858332.0,1
5,5.0,3241,3339.0,1,20,1,1,1,1,5.61,999822.0,1
4,4.0,3670,8514.0,1,121,1,1,0,0,22.43,897684.0,1
4,4.0,2225,3987.0,2,25,1,0,0,1,4.21,727579.0,0
6,5.0,3454,7261.0,1,58,1,0,0,1,1.33,1090361.0,1
3,3.0,2021,2154.0,2,113,0,0,0,1,5.19,510982.0,0
2,3.0,1765,2658.0,2,22,1,0,0,1,3.05,540784.0,0
3,3.0,1827,2559.0,2,35,1,0,0,0,17.52,494590.0,0
6,5.0,4181,2166.0,2,100,1,1,0,0,2.87,1116460.0,1
4,4.5,2934,3548.0,3,26,1,0,0,1,2.56,869956.0,1
2,2.0,1429,3299.0,1,109,1,0,0,0,19.86,429226.0,0
4,5.0,3464,3273.0,2,6,1,0,1,0,15.02,848145.0,1
3,3.0,2369,11589.0,1,10,1,1,1,1,14.25,732147.0,0
2,2.5,1803,4829.0,2,52,0,0,0,0,13.9,417691.0,0
2,2.0,2219,1703.0,1,18,0,1,0,1,3.45,625601.0,0
3,4.0,2359,4620.0,1,74,1,0,0,0,13.0,693509.0,0
2,3.0,1378,6865.0,1,5,1,1,1,1,3.53,633922.0,0
6,5.0,4543,2557.0,2,48,1,0,0,1,8.84,1273984.0,1
3,3.5,2257,8397.0,2,21,1,0,0,0,15.72,676396.0,0
4,4.5,3241,5541.0,1,40,1,1,0,0,13.69,862096.0,1
1,2.0,736,1966.0,1,69,1,0,0,0,21.61,277531.0,0
3,3.0,2507,9975.0,2,12,1,0,0,1,3.72,852198.0,1
3,3.0,2751,2119.0,2,11,1,0,0,1,9.22,855388.0,1
3,3.5,2098,1524.0,1,39,1,1,0,1,2.68,754318.0,0
2,2.5,2175,5699.0,1,2,0,0,1,1,5.58,784358.0,0
3,3.0,2198,2555.0,2,48,1,1,0,1,13.71,742933.0,0
2,2.5,1203,1975.0,1,23,0,0,0,1,8.73,405798.0,0
3,3.0,2303,2243.0,1,30,1,1,0,0,11.4,538461.0,0
4,5.0,3772,2010.0,2,30,1,0,0,1,5.32,1035148.0,1
3,3.0,2683,4536.0,2,12,1,1,0,0,16.68,645459.0,0
5,5.0,4006,1813.0,1,34,1,0,0,0,20.91,1135772.0,1
3,3.0,2434,2069.0,2,78,1,1,0,1,4.83,743067.0,0
2,2.0,1233,3036.0,1,55,1,1,0,1,11.14,475654.0,0
2,3.0,1282,1760.0,2,14,0,1,0,1,5.06,520737.0,0
2,2.0,1819,2291.0,2,71,1,0,0,1,9.2,516475.0,0
3,3.0,2174,6602.0,1,10,1,0,1,1,5.46,794477.0,1
